嵘基直播[优选],#genre#
CHC家庭影院,https://migu.188766.xyz/?migutoken=a5b75bad243c82aa5985c580c3186bcc&id=CHC%E5%AE%B6%E5%BA%AD%E5%BD%B1%E9%99%A2&type=yy
CHC动作电影,https://migu.188766.xyz/?migutoken=453a5875ff243920fe52582153de7afd&id=CHC%E5%8A%A8%E4%BD%9C%E7%94%B5%E5%BD%B1&type=yy
CHC影迷电影,https://migu.188766.xyz/?migutoken=9a145783b756378cf1594806cabb03aa&id=CHC%E5%BD%B1%E8%BF%B7%E7%94%B5%E5%BD%B1&type=yy
五星体育,https://migu.188766.xyz/?migutoken=cc1de321e3c43cb6ea81503818a83298&id=%E4%BA%94%E6%98%9F%E4%BD%93%E8%82%B2&pp=1
五星体育,https://other.ottiptv.cc/wxty.m3u8
重温经典,https://other.ottiptv.cc/cwjd.m3u8
新片放映厅,https://migu.188766.xyz/?migutoken=a64c0317206ac5ce0b4538cefc7ce75a&id=%E6%96%B0%E7%89%87%E6%94%BE%E6%98%A0%E5%8E%85&type=yy
高清大片,https://migu.188766.xyz/?migutoken=a19ff28b3d87f25948494ff58eb89c44&id=%E9%AB%98%E6%B8%85%E5%A4%A7%E7%89%87&type=yy
经典香港电影,https://migu.188766.xyz/?migutoken=79f4056d7a48b4c23186334b83cde67f&id=%E7%BB%8F%E5%85%B8%E9%A6%99%E6%B8%AF%E7%94%B5%E5%BD%B1&type=yy
抗战经典影片,https://migu.188766.xyz/?migutoken=7e18f5eab19b555770707c30480e261c&id=%E6%8A%97%E6%88%98%E7%BB%8F%E5%85%B8%E5%BD%B1%E7%89%87&type=yy
赛事最经典,https://migu.188766.xyz/?migutoken=f3d5a55885ece0456d63e4b19e0eff6a&id=%E8%B5%9B%E4%BA%8B%E6%9C%80%E7%BB%8F%E5%85%B8&type=yy
武术世界,https://migu.188766.xyz/?migutoken=53b4b4801228a6528d3c357afb4a4be2&id=%E6%AD%A6%E6%9C%AF%E4%B8%96%E7%95%8C&type=yy
四海钓鱼,https://migu.188766.xyz/?migutoken=db0a21e71ae79d5486ff62c85260d377&id=%E5%9B%9B%E6%B5%B7%E9%92%93%E9%B1%BC&type=yy
环球旅游,https://migu.188766.xyz/?migutoken=fa0ead144d404dbf4e50ea98eae9b0c0&id=%E7%8E%AF%E7%90%83%E6%97%85%E6%B8%B8&type=yy
最强综艺趴,https://migu.188766.xyz/?migutoken=9b21c1739d267a9910e7b0d3c3feddea&id=%E6%9C%80%E5%BC%BA%E7%BB%BC%E8%89%BA%E8%B6%B4&type=yy
嘉佳卡通,https://migu.188766.xyz/?migutoken=ec23512155556d1d6dc8ea99f0d61b10&id=%E5%98%89%E4%BD%B3%E5%8D%A1%E9%80%9A&type=yy
经典动画大集合,https://migu.188766.xyz/?migutoken=7972393f752a3a7f7976edefff0c77b6&id=%E7%BB%8F%E5%85%B8%E5%8A%A8%E7%94%BB%E5%A4%A7%E9%9B%86%E5%90%88&type=yy
优漫卡通,https://migu.188766.xyz/?migutoken=69aaf700f71893a1f60e2a8c5edfc199&id=%E4%BC%98%E6%BC%AB%E5%8D%A1%E9%80%9A%E9%A2%91%E9%81%93&type=yy
财富天下,https://migu.188766.xyz/?migutoken=397727e6ea48eb3ad0dfcb21623b1cec&id=%E8%B4%A2%E5%AF%8C%E5%A4%A9%E4%B8%8B&type=yy
体坛名栏汇,https://migu.188766.xyz/?migutoken=816edb00cec9fc329b10c65740a0701c&id=%E4%BD%93%E5%9D%9B%E5%90%8D%E6%A0%8F%E6%B1%87&type=yy
24小时全运会轮播台,https://migu.188766.xyz/?migutoken=03aed24258a9fef74d78fefd76a0b2f5&id=24%E5%B0%8F%E6%97%B6%E5%85%A8%E8%BF%90%E4%BC%9A%E8%BD%AE%E6%92%AD%E5%8F%B0&type=yy
24小时城市联赛轮播台,https://migu.188766.xyz/?migutoken=1861c88743cb20204a98ce4326bada2a&id=24%E5%B0%8F%E6%97%B6%E5%9F%8E%E5%B8%82%E8%81%94%E8%B5%9B%E8%BD%AE%E6%92%AD%E5%8F%B0&type=yy
山东教育,https://migu.188766.xyz/?migutoken=a475bfefdba64f4f949fb60aac825926&id=%E5%B1%B1%E4%B8%9C%E6%95%99%E8%82%B2&type=yy
中学生,https://migu.188766.xyz/?migutoken=3369f0ebd3a1924d01501c8256b96213&id=%E4%B8%AD%E5%AD%A6%E7%94%9F&type=yy
老故事,https://migu.188766.xyz/?migutoken=fafc2d7befe864dae2be204e99911272&id=%E8%80%81%E6%95%85%E4%BA%8B&type=yy
CETV-1,https://migu.188766.xyz/?migutoken=b16b84fb785331cff28336624a8afda7&id=CETV1&type=yy
CETV-2,https://migu.188766.xyz/?migutoken=225203858e9d3550d00cb7cb52d10262&id=CETV2&type=yy
CETV-4,https://migu.188766.xyz/?migutoken=cbd1b812f60c10c0be940f635a6b1fab&id=CETV4&type=yy
新动力量创一流,https://migu.188766.xyz/?migutoken=31eda34304f7cbadc9f693f75b36b535&id=%E6%96%B0%E5%8A%A8%E5%8A%9B%E9%87%8F%E5%88%9B%E4%B8%80%E6%B5%81&type=yy
钱塘江,https://migu.188766.xyz/?migutoken=64f5e23188cb007b3e761cf999a74018&id=%E9%92%B1%E5%A1%98%E6%B1%9F&type=yy



央卫高清[V6],#genre#

CCTV1,http://[2409:8087:1e02:20::2D]/PLTV/11/224/3221226163/index.m3u8
CCTV1,http://[2409:8087:1e02:20::1D]/PLTV/11/224/3221226163/index.m3u8
CCTV1,http://[2409:8087:1e02:20::32]/PLTV/11/224/3221226163/index.m3u8
CCTV1,http://[2409:8087:1e02:20::33]/PLTV/11/224/3221226163/index.m3u8
CCTV1,http://[2409:8087:1e02:20::31]/PLTV/11/224/3221226163/index.m3u8
CCTV1,http://[2409:8087:1e02:20::1a]/PLTV/11/224/3221225723/index.m3u8
CCTV1,http://[2409:8087:1e02:20::1a]/PLTV/11/224/3221225673/index.m3u8
CCTV1,http://[2409:8087:1e02:20::1a]/PLTV/11/224/3221225770/index.m3u8
CCTV1,http://[2409:8087:1e02:20::1a]/PLTV/11/224/3221226145/index.m3u8
CCTV1,http://[2409:8087:1e02:20::1a]/PLTV/11/224/3221226163/index.m3u8
CCTV2,http://[2409:8087:1e02:20::31]/PLTV/11/224/3221226122/index.m3u8
CCTV2,http://[2409:8087:1e02:20::1C]/PLTV/11/224/3221226122/index.m3u8
CCTV2,http://[2409:8087:1e02:20::12]/PLTV/11/224/3221226122/index.m3u8
CCTV2,http://[2409:8087:1e02:20::30]/PLTV/11/224/3221226122/index.m3u8
CCTV2,http://[2409:8087:1e02:20::32]/PLTV/11/224/3221226122/index.m3u8
CCTV2,http://[2409:8087:1e02:20::1F]/PLTV/11/224/3221226122/index.m3u8
CCTV2,http://[2409:8087:1e02:20::2A]/PLTV/11/224/3221226122/index.m3u8
CCTV2,http://[2409:8087:1e02:20::1a]/PLTV/11/224/3221226122/index.m3u8
CCTV3,http://[2409:8087:1e02:20::31]/PLTV/11/224/3221226165/index.m3u8
CCTV3,http://[2409:8087:1e02:20::25]/PLTV/11/224/3221226165/index.m3u8
CCTV3,http://[2409:8087:1e02:20::16]/PLTV/11/224/3221226165/index.m3u8
CCTV3,http://[2409:8087:1e02:20::2B]/PLTV/11/224/3221226165/index.m3u8
CCTV3,http://[2409:8087:1e02:20::13]/PLTV/11/224/3221226165/index.m3u8
CCTV3,http://[2409:8087:1e02:20::1B]/PLTV/11/224/3221226165/index.m3u8
CCTV3,http://[2409:8087:1e02:20::19]/PLTV/11/224/3221226165/index.m3u8
CCTV3,http://[2409:8087:1e02:20::1D]/PLTV/11/224/3221226165/index.m3u8
CCTV3,http://[2409:8087:1e02:20::1a]/PLTV/11/224/3221225766/index.m3u8
CCTV3,http://[2409:8087:1e02:20::1a]/PLTV/11/224/3221226165/index.m3u8
CCTV4,http://[2409:8087:1e02:20::24]/PLTV/11/224/3221226124/index.m3u8
CCTV4,http://[2409:8087:1e02:20::1D]/PLTV/11/224/3221226124/index.m3u8
CCTV4,http://[2409:8087:1e02:20::10]/PLTV/11/224/3221226124/index.m3u8
CCTV4,http://[2409:8087:1e02:20::2E]/PLTV/11/224/3221226124/index.m3u8
CCTV4,http://[2409:8087:1e02:20::20]/PLTV/11/224/3221226124/index.m3u8
CCTV4,http://[2409:8087:1e02:20::17]/PLTV/11/224/3221226124/index.m3u8
CCTV4,http://[2409:8087:1e02:20::33]/PLTV/11/224/3221226124/index.m3u8
CCTV4,http://[2409:8087:1e02:20::1a]/PLTV/11/224/3221226124/index.m3u8
CCTV5,http://[2409:8087:1e02:20::17]/PLTV/11/224/3221226146/index.m3u8
CCTV5,http://[2409:8087:1e02:20::31]/PLTV/11/224/3221226146/index.m3u8
CCTV5,http://[2409:8087:1e02:20::23]/PLTV/11/224/3221226146/index.m3u8
CCTV5,http://[2409:8087:1e02:20::1B]/PLTV/11/224/3221226146/index.m3u8
CCTV5,http://[2409:8087:1e02:20::33]/PLTV/11/224/3221226146/index.m3u8
CCTV5,http://[2409:8087:1e02:20::24]/PLTV/11/224/3221226146/index.m3u8
CCTV5,http://[2409:8087:1e02:20::1A]/PLTV/11/224/3221226146/index.m3u8
CCTV5,http://[2409:8087:1e02:20::1C]/PLTV/11/224/3221226146/index.m3u8
CCTV5,http://[2409:8087:1e02:20::19]/PLTV/11/224/3221226146/index.m3u8
CCTV5,http://[2409:8087:1e02:20::1a]/PLTV/11/224/3221225734/index.m3u8
CCTV5,http://[2409:8087:1e02:20::1a]/PLTV/11/224/3221226146/index.m3u8
CCTV6,http://[2409:8087:1e02:20::1A]/PLTV/11/224/3221226148/index.m3u8
CCTV6,http://[2409:8087:1e02:20::1E]/PLTV/11/224/3221226148/index.m3u8
CCTV6,http://[2409:8087:1e02:20::18]/PLTV/11/224/3221226148/index.m3u8
CCTV6,http://[2409:8087:1e02:20::25]/PLTV/11/224/3221226148/index.m3u8
CCTV6,http://[2409:8087:1e02:20::13]/PLTV/11/224/3221226148/index.m3u8
CCTV6,http://[2409:8087:1e02:20::31]/PLTV/11/224/3221226148/index.m3u8
CCTV6,http://[2409:8087:1e02:20::32]/PLTV/11/224/3221226148/index.m3u8
CCTV6,http://[2409:8087:1e02:20::24]/PLTV/11/224/3221226148/index.m3u8
CCTV6,http://[2409:8087:1e02:20::2E]/PLTV/11/224/3221226148/index.m3u8
CCTV6,http://[2409:8087:1e02:20::1D]/PLTV/11/224/3221226148/index.m3u8
CCTV6,http://[2409:8087:1e02:20::1a]/PLTV/11/224/3221225741/index.m3u8
CCTV6,http://[2409:8087:1e02:20::1a]/PLTV/11/224/3221226148/index.m3u8
CCTV7,http://[2409:8087:1e02:20::2B]/PLTV/11/224/3221226143/index.m3u8
CCTV7,http://[2409:8087:1e02:20::1F]/PLTV/11/224/3221226143/index.m3u8
CCTV7,http://[2409:8087:1e02:20::22]/PLTV/11/224/3221226143/index.m3u8
CCTV7,http://[2409:8087:1e02:20::1a]/PLTV/11/224/3221225701/index.m3u8
CCTV7,http://[2409:8087:1e02:20::1a]/PLTV/11/224/3221226143/index.m3u8
CCTV7,http://[2409:8087:1e02:20::1a]/PLTV/11/224/3221226137/index.m3u8
CCTV8,http://[2409:8087:1e02:20::2C]/PLTV/11/224/3221226167/index.m3u8
CCTV8,http://[2409:8087:1e02:20::21]/PLTV/11/224/3221226167/index.m3u8
CCTV8,http://[2409:8087:1e02:20::19]/PLTV/11/224/3221226167/index.m3u8
CCTV8,http://[2409:8087:1e02:20::1a]/PLTV/11/224/3221225724/index.m3u8
CCTV8,http://[2409:8087:1e02:20::1a]/PLTV/11/224/3221225736/index.m3u8
CCTV8,http://[2409:8087:1e02:20::1a]/PLTV/11/224/3221226167/index.m3u8
CCTV10,http://[2409:8087:1e02:20::31]/PLTV/11/224/3221226169/index.m3u8
CCTV10,http://[2409:8087:1e02:20::1a]/PLTV/11/224/3221225743/index.m3u8
CCTV10,http://[2409:8087:1e02:20::1a]/PLTV/11/224/3221226169/index.m3u8
CCTV11,http://[2409:8087:1e02:20::31]/PLTV/11/224/3221226145/index.m3u8
CCTV11,http://[2409:8087:1e02:20::1a]/PLTV/11/224/3221226101/index.m3u8
CCTV12,http://[2409:8087:1e02:20::33]/PLTV/11/224/3221226126/index.m3u8
CCTV12,http://[2409:8087:1e02:20::31]/PLTV/11/224/3221226126/index.m3u8
CCTV12,http://[2409:8087:1e02:20::1a]/PLTV/11/224/3221226103/index.m3u8
CCTV12,http://[2409:8087:1e02:20::1a]/PLTV/11/224/3221226126/index.m3u8
CCTV13,http://[2409:8087:1e02:20::31]/PLTV/11/224/3221226128/index.m3u8
CCTV13,http://[2409:8087:1e02:20::1a]/PLTV/11/224/3221226128/index.m3u8
CCTV14,http://[2409:8087:1e02:20::1a]/PLTV/11/224/3221226150/index.m3u8
CCTV14,http://[2409:8087:1e02:20::1a]/PLTV/11/224/3221225738/index.m3u8
CCTV15,http://[2409:8087:1e02:20::31]/PLTV/11/224/3221226147/index.m3u8
CCTV15,http://[2409:8087:1e02:20::1a]/PLTV/11/224/3221225688/index.m3u8
CCTV15,http://[2409:8087:1e02:20::1a]/PLTV/11/224/3221226147/index.m3u8
CCTV16,http://[2409:8087:1e02:20::20]/PLTV/11/224/3221226120/index.m3u8
CCTV16,http://[2409:8087:1e02:20::32]/PLTV/11/224/3221226120/index.m3u8
CCTV16,http://[2409:8087:1e02:20::31]/PLTV/11/224/3221226120/index.m3u8
CCTV16,http://[2409:8087:1e02:20::1a]/PLTV/11/224/3221226120/index.m3u8
CGTN,http://[2409:8087:1e02:20::1a]/PLTV/11/224/3221226016/index.m3u8
CETV1,http://[2409:8087:1e02:20::23]/PLTV/11/224/3221225775/index.m3u8
CETV1,http://[2409:8087:1e02:20::22]/PLTV/11/224/3221225775/index.m3u8
CETV1,http://[2409:8087:1e02:20::25]/PLTV/11/224/3221225775/index.m3u8
CETV1,http://[2409:8087:1e02:20::24]/PLTV/11/224/3221225775/index.m3u8
CETV1,http://[2409:8087:1e02:20::10]/PLTV/11/224/3221225775/index.m3u8
CETV1,http://[2409:8087:1e02:20::1a]/PLTV/11/224/3221225775/index.m3u8
CETV4,http://[2409:8087:1e02:20::30]/PLTV/11/224/3221226153/index.m3u8
CETV4,http://[2409:8087:1e02:20::33]/PLTV/11/224/3221226153/index.m3u8
CETV4,http://[2409:8087:1e02:20::31]/PLTV/11/224/3221226153/index.m3u8
CETV4,http://[2409:8087:1e02:20::1a]/PLTV/11/224/3221226069/index.m3u8
CETV4,http://[2409:8087:1e02:20::1a]/PLTV/11/224/3221226153/index.m3u8
上海都市,http://[2409:8087:1e02:20::1a]/PLTV/11/224/3221225749/index.m3u8
上海新闻综合,http://[2409:8087:1e02:20::1a]/PLTV/11/224/3221226136/index.m3u8
北京卫视,http://[2409:8087:1e02:20::1C]/PLTV/11/224/3221225724/index.m3u8
北京卫视,http://[2409:8087:1e02:20::31]/PLTV/11/224/3221225724/index.m3u8
北京卫视,http://[2409:8087:1e02:20::23]/PLTV/11/224/3221225724/index.m3u8
北京卫视,http://[2409:8087:1e02:20::21]/PLTV/11/224/3221225724/index.m3u8
北京卫视,http://[2409:8087:1e02:20::17]/PLTV/11/224/3221225724/index.m3u8
北京卫视,http://[2409:8087:1e02:20::16]/PLTV/11/224/3221225724/index.m3u8
北京卫视,http://[2409:8087:1e02:20::1F]/PLTV/11/224/3221225724/index.m3u8
天津卫视,http://[2409:8087:1e02:20::33]/PLTV/11/224/3221225742/index.m3u8
天津卫视,http://[2409:8087:1e02:20::18]/PLTV/11/224/3221225742/index.m3u8
天津卫视,http://[2409:8087:1e02:20::31]/PLTV/11/224/3221225742/index.m3u8
天津卫视,http://[2409:8087:1e02:20::1B]/PLTV/11/224/3221225742/index.m3u8
天津卫视,http://[2409:8087:1e02:20::15]/PLTV/11/224/3221225742/index.m3u8
天津卫视,http://[2409:8087:1e02:20::1A]/PLTV/11/224/3221225742/index.m3u8
天津卫视,http://[2409:8087:1e02:20::13]/PLTV/11/224/3221225742/index.m3u8
天津卫视,http://[2409:8087:1e02:20::1C]/PLTV/11/224/3221225742/index.m3u8
天津卫视,http://[2409:8087:1e02:20::2A]/PLTV/11/224/3221225742/index.m3u8
河北卫视,http://[2409:8087:1e02:20::31]/PLTV/11/224/3221226107/index.m3u8
山西卫视,http://[2409:8087:1e02:20::20]/PLTV/11/224/3221226113/index.m3u8
山西卫视,http://[2409:8087:1e02:20::1E]/PLTV/11/224/3221226113/index.m3u8
山西卫视,http://[2409:8087:1e02:20::25]/PLTV/11/224/3221226113/index.m3u8
山西卫视,http://[2409:8087:1e02:20::2C]/PLTV/11/224/3221226113/index.m3u8
山西卫视,http://[2409:8087:1e02:20::1D]/PLTV/11/224/3221226113/index.m3u8
山西卫视,http://[2409:8087:1e02:20::2D]/PLTV/11/224/3221226113/index.m3u8
山西卫视,http://[2409:8087:1e02:20::33]/PLTV/11/224/3221226113/index.m3u8
山西卫视,http://[2409:8087:1e02:20::1C]/PLTV/11/224/3221226113/index.m3u8
山西卫视,http://[2409:8087:1e02:20::12]/PLTV/11/224/3221226113/index.m3u8
内蒙古卫视,http://[2409:8087:1e02:20::1B]/PLTV/11/224/3221226011/index.m3u8
内蒙古卫视,http://[2409:8087:1e02:20::16]/PLTV/11/224/3221226011/index.m3u8
内蒙古卫视,http://[2409:8087:1e02:20::24]/PLTV/11/224/3221226011/index.m3u8
内蒙古卫视,http://[2409:8087:1e02:20::1D]/PLTV/11/224/3221226011/index.m3u8
内蒙古卫视,http://[2409:8087:1e02:20::15]/PLTV/11/224/3221226011/index.m3u8
内蒙古卫视,http://[2409:8087:1e02:20::31]/PLTV/11/224/3221226011/index.m3u8
内蒙古卫视,http://[2409:8087:1e02:20::33]/PLTV/11/224/3221226011/index.m3u8
辽宁卫视,http://[2409:8087:1e02:20::23]/PLTV/11/224/3221226011/index.m3u8
辽宁卫视,http://[2409:8087:1e02:20::25]/PLTV/11/224/3221226011/index.m3u8
辽宁卫视,http://[2409:8087:1e02:20::17]/PLTV/11/224/3221226011/index.m3u8
辽宁卫视,http://[2409:8087:1e02:20::1D]/PLTV/11/224/3221226011/index.m3u8
辽宁卫视,http://[2409:8087:1e02:20::22]/PLTV/11/224/3221226011/index.m3u8
辽宁卫视,http://[2409:8087:1e02:20::1F]/PLTV/11/224/3221226011/index.m3u8
辽宁卫视,http://[2409:8087:1e02:20::21]/PLTV/11/224/3221226011/index.m3u8
辽宁卫视,http://[2409:8087:1e02:20::31]/PLTV/11/224/3221226011/index.m3u8
北京卫视,http://[2409:8087:1e02:20::1a]/PLTV/11/224/3221225724/1.m3u8
东方卫视,http://[2409:8087:1e02:20::1a]/PLTV/11/224/3221226106/1.m3u8
东方卫视,http://[2409:8087:1e02:20::1a]/PLTV/11/224/3221225725/1.m3u8
江西卫视,http://[2409:8087:1e02:20::1a]/PLTV/11/224/3221225740/1.m3u8
广西卫视,http://[2409:8087:1e02:20::1a]/PLTV/11/224/3221226130/1.m3u8
云南卫视,http://[2409:8087:1e02:20::1a]/PLTV/11/224/3221226151/1.m3u8
贵州卫视,http://[2409:8087:1e02:20::1a]/PLTV/11/224/3221226173/1.m3u8
山东卫视,http://[2409:8087:1e02:20::21]/PLTV/11/224/3221225733/1.m3u8
深圳卫视,http://[2409:8087:1e02:20::21]/PLTV/11/224/3221225728/1.m3u8
四川卫视,http://[2409:8087:1e02:20::21]/PLTV/11/224/3221226152/1.m3u8
重庆卫视,http://[2409:8087:1e02:20::2D]/PLTV/11/224/3221226171/1.m3u8
东南卫视,http://[2409:8087:1e02:20::15]/PLTV/11/224/3221225745/1.m3u8
黑龙江卫视,http://[2409:8087:1e02:20::24]/PLTV/11/224/3221225722/1.m3u8
吉林卫视,http://[2409:8087:1e02:20::23]/PLTV/11/224/3221226082/index.m3u8
吉林卫视,http://[2409:8087:1e02:20::1B]/PLTV/11/224/3221226149/index.m3u8
河北卫视,http://[2409:8087:1e02:20::1B]/PLTV/11/224/3221226107/index.m3u8
湖南卫视,http://[2409:8087:1e02:20::1B]/PLTV/11/224/3221225726/index.m3u8
山西卫视,http://[2409:8087:1e02:20::1B]/PLTV/11/224/3221226113/index.m3u8
安徽卫视,http://[2409:8087:1e02:20::1B]/PLTV/11/224/3221225739/index.m3u8
